Store,Brand,Description,Week,SalesQuantity,TotalSalesPrice,PurchaseQuantity,TotalPurchasePrice,BegInv,EndInv,COGS,InventoryValue,InventoryTurnover,DOI
1,523,Castello Del Poggio Moscato,5,2,20.48,0,0,48,52,14.18,368.68,0.2836,183.3568406
1,523,Castello Del Poggio Moscato,6,1,9.99,0,0,52,51,7.09,361.59,0.137669903,377.7150917
1,523,Castello Del Poggio Moscato,7,20,199.8,48,340.32,232,246,141.8,1744.14,0.593305439,87.64456982
1,523,Castello Del Poggio Moscato,8,4,39.96,0,0,58,61,28.36,432.49,0.476638655,109.0973202
1,523,Castello Del Poggio Moscato,9,4,39.96,416,2949.44,450,862,28.36,6111.58,0.043231707,1202.820874
1,538,Amaretto DiSaronno,1,27,314.73,216,1719.36,315,378,214.92,3008.88,0.62025974,83.8358459
1,538,Amaretto DiSaronno,2,2,25.98,0,0,21,61,15.92,485.56,0.388292683,133.919598
1,538,Amaretto DiSaronno,3,12,155.88,40,318.4,272,286,95.52,2276.56,0.342365591,151.8844221
1,538,Amaretto DiSaronno,4,16,207.84,4,31.84,274,282,127.36,2244.72,0.458129496,113.5050251
1,538,Amaretto DiSaronno,5,28,359.72,44,350.24,298,300,222.88,2388,0.74541806,69.75951184
1,538,Amaretto DiSaronno,6,5,59.95,0,0,73,72,39.8,573.12,0.548965517,94.72361809
1,538,Amaretto DiSaronno,7,5,59.95,0,0,72,67,39.8,533.32,0.572661871,90.8040201
1,538,Amaretto DiSaronno,8,28,335.72,48,382.08,288,298,222.88,2372.08,0.760682594,68.35965542
1,538,Amaretto DiSaronno,9,24,295.76,192,1528.32,382,560,191.04,4457.6,0.405605096,128.2035176
1,661,Red Stag by Jim Beam,1,9,130.41,207,2067.93,759,990,89.91,9890.1,0.102813036,505.7724391
1,661,Red Stag by Jim Beam,2,7,101.43,0,0,110,158,69.93,1578.42,0.521865672,99.64249964
1,661,Red Stag by Jim Beam,3,12,173.88,44,439.56,648,680,119.88,6793.2,0.180542169,288.0213547
1,661,Red Stag by Jim Beam,4,5,72.45,0,0,174,169,49.95,1688.31,0.291253644,178.5385385
1,661,Red Stag by Jim Beam,5,4,57.96,0,0,169,165,39.96,1648.35,0.239281437,217.3173173
1,661,Red Stag by Jim Beam,6,36,521.64,48,479.52,672,678,359.64,6773.22,0.5328,97.5975976
1,661,Red Stag by Jim Beam,7,2,28.98,0,0,168,169,19.98,1688.31,0.118575668,438.5385385
1,661,Red Stag by Jim Beam,8,24,347.76,48,479.52,700,712,239.76,7112.88,0.339603399,153.1197865
1,661,Red Stag by Jim Beam,9,1,14.49,0,0,175,180,9.99,1798.2,0.05628169,923.9239239
1,812,Jagermeister Liqueur,1,27,620.73,108,1839.24,405,648,459.81,11035.44,0.873333333,59.54198473
1,812,Jagermeister Liqueur,2,5,114.95,0,0,108,103,85.15,1754.09,0.807109005,64.42748092
1,812,Jagermeister Liqueur,3,24,551.76,48,817.44,424,448,408.72,7629.44,0.937431193,55.47073791
1,812,Jagermeister Liqueur,4,10,229.9,0,0,115,105,170.3,1788.15,1.548181818,33.58778626
1,812,Jagermeister Liqueur,5,36,771.64,44,749.32,424,432,613.08,7356.96,1.432429907,36.30195081
1,812,Jagermeister Liqueur,6,52,1091.48,44,749.32,432,424,885.56,7220.72,2.069065421,25.13211979
1,812,Jagermeister Liqueur,7,48,1007.52,48,817.44,420,420,817.44,7152.6,1.946285714,26.71755725
1,812,Jagermeister Liqueur,8,44,923.56,48,817.44,422,426,749.32,7254.78,1.767264151,29.4240111
1,812,Jagermeister Liqueur,9,12,259.88,380,6471.4,796,980,204.36,16689.4,0.230135135,225.9541985
1,807,Jim Beam,1,27,485.73,108,1428.84,258,342,357.21,4524.66,1.1907,43.6717897
1,807,Jim Beam,2,8,143.92,0,0,38,49,105.84,648.27,2.433103448,21.37188209
1,807,Jim Beam,3,8,143.92,48,635.04,216,256,105.84,3386.88,0.448474576,115.9486017
1,807,Jim Beam,4,3,53.97,0,0,69,66,39.69,873.18,0.588,88.43537415
1,807,Jim Beam,5,16,295.84,44,582.12,292,306,211.68,4048.38,0.707959866,73.45049131
1,807,Jim Beam,6,5,99.95,0,0,73,75,66.15,992.25,0.893918919,58.17082389
1,807,Jim Beam,7,2,39.98,0,0,75,73,26.46,965.79,0.357567568,145.4270597
1,807,Jim Beam,8,1,19.99,0,0,73,72,13.23,952.56,0.182482759,284.9584278
